replicate	genotype	treatment	flat	pot	colony
Bac028	dde2/pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b05	6.440922445
Bac028	dde2/pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b07	6.150887834
Bac028	dde2/pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b07	6.849857838
Bac028	dde2/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b01	5.406160339
Bac028	dde2/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b01	6.105130343
Bac028	dde2/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b03	6.053977821
Bac028	dde2/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b03	5.96380119
Bac028	dde2/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b05	5.128611439
Bac028	dde2/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b05	5.707190335
Bac028	dde2/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b07	6.08030676
Bac028	dde2/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b07	5.557428014
Bac028	ein2/pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b02	5.312255836
Bac028	ein2/pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b02	5.393925883
Bac028	ein2/pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b04	5.381336755
Bac028	ein2/pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b04	5.675932641
Bac028	ein2/pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b06	4.995985874
Bac028	ein2/pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b06	5.23006908
Bac028	ein2/pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b08	5.355007816
Bac028	ein2/pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b08	5.429641435
Bac028	ein2/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b02	5.341219532
Bac028	ein2/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b02	5.429641435
Bac028	ein2/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b04	5.929039084
Bac028	ein2/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b04	5.849857838
Bac028	ein2/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b06	6.025949097
Bac028	ein2/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b06	5.381336755
Bac028	ein2/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b08	5.355007816
Bac028	ein2/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b08	5.483326294
Bac028	pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b01	6.565861182
Bac028	pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b01	6.128611439
Bac028	pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b03	6.688706929
Bac028	pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b03	6.682366751
Bac028	pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b05	6.192280519
Bac028	pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b05	6.635187673
Bac028	pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b07	6.312255836
Bac028	pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b07	6.211585674
Bac028	dde2/ein2/pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b01	6.105130343
Bac028	dde2/ein2/pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b01	6.128611439
Bac028	dde2/ein2/pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b03	6.025949097
Bac028	dde2/ein2/pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b03	6.150887834
Bac028	dde2/ein2/pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b05	6.381336755
Bac028	dde2/ein2/pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b05	6.264831186
Bac028	dde2/ein2/pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b07	6.172077133
Bac028	dde2/ein2/pad4	avrRpt2	flatavrRpt2b1	potavrRpt2b07	6.192280519
Bac028	dde2/ein2/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b02	4.635187673
Bac028	dde2/ein2/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b02	6.211585674
Bac028	dde2/ein2/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b04	4.128611439
Bac028	dde2/ein2/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b04	6.368371778
Bac028	dde2/ein2/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b06	4.557428014
Bac028	dde2/ein2/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b06	4.849857838
Bac028	dde2/ein2/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b08	4.172077133
Bac028	dde2/ein2/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b08	5.688706929
Bac028	dde2/pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b01	7.35906036
Bac028	dde2/pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b01	6.418059562
Bac028	dde2/pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b03	5.96380119
Bac028	dde2/pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b03	6.053977821
Bac028	dde2/pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b05	6.297015869
Bac028	dde2/pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b05	5.995985874
Bac028	dde2/pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b07	5.96380119
Bac028	dde2/pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b07	6.393925883
Bac028	ein2/pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b02	6.025949097
Bac028	ein2/pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b02	6.08030676
Bac028	ein2/pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b04	6.053977821
Bac028	ein2/pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b04	6.440922445
Bac028	ein2/pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b06	6.128611439
Bac028	ein2/pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b06	6.326979093
Bac028	ein2/pad4/sid2	avrRpt2	flatavrRpt2b1	potavrRpt2b08	6.393925883
